NumeroAtomico,NomeItaliano,Sigla,LivelloEnergetico,BloccoEV,ElettroniValenza
1,idrogeno,,1,s,1
2,elio,He,1,s,2
3,litio,,2,s,1
4,berillio,,2,s,2
5,boro,,2,p,1
6,carbonio,,2,p,2
7,azoto,,2,p,3
8,ossigeno,,2,p,4
9,fluoro,,2,p,5
10,neon,Ne,2,p,6
11,sodio,,3,s,1
12,magnesio,,3,s,2
13,alluminio,,3,p,1
14,silicio,,3,p,2
15,fosforo,,3,p,3
16,zolfo,,3,p,4
17,cloro,,3,p,5
18,argon,Ar,3,p,6
19,potassio,,4,s,1
20,calcio,,4,s,2
21,scandio,,4,d,1
22,titanio,,4,d,2
23,vanadio,,4,d,3
24,cromo,,4,d,4
25,manganese,,4,d,5
26,ferro,,4,d,6
27,cobalto,,4,d,7
28,nichel,,4,d,8
29,rame,,4,d,9
30,zinco,,4,d,10
31,gallio,,4,p,1
32,germanio,,4,p,2
33,arsenico,,4,p,3
34,selenio,,4,p,4
35,bromo,,4,p,5
36,kripton,Kr,4,p,6
37,rubidio,,5,s,1
38,stronzio,,5,s,2
39,ittrio,,5,d,1
40,zirconio,,5,d,2
41,niobio,,5,d,3
42,molibdeno,,5,d,4
43,tecnezio,,5,d,5
44,rutenio,,5,d,6
45,rodio,,5,d,7
46,palladio,,5,d,8
47,argento,,5,d,9
48,cadmio,,5,d,10
49,indio,,5,p,1
50,stagno,,5,p,2
51,antimonio,,5,p,3
52,tellurio,,5,p,4
53,iodio,,5,p,5
54,xeno,Xe,5,p,6
55,cesio,,6,s,1
56,bario,,6,s,2
57,lantanio,,6,f,1
58,cerio,,6,f,2
59,praseodimio,,6,f,3
60,neodimio,,6,f,4
61,promezio,,6,f,5
62,samario,,6,f,6
63,europio,,6,f,7
64,gadolinio,,6,f,8
65,terbio,,6,f,9
66,disprosio,,6,f,10
67,olmio,,6,f,11
68,erbio,,6,f,12
69,tulio,,6,f,13
70,itterbio,,6,f,14
71,lutezio,,6,d,1
72,afnio,,6,d,2
73,tantalio,,6,d,3
74,tungsteno,,6,d,4
75,renio,,6,d,5
76,osmio,,6,d,6
77,iridio,,6,d,7
78,platino,,6,d,8
79,oro,,6,d,9
80,mercurio,,6,d,10
81,tallio,,6,p,1
82,piombo,,6,p,2
83,bismuto,,6,p,3
84,polonio,,6,p,4
85,astato,,6,p,5
86,radon,Rn,6,p,6
87,francio,,7,s,1
88,radio,,7,s,2
89,attinio,,7,f,1
90,torio,,7,f,2
91,protoattinio,,7,f,3
92,uranio,,7,f,4
93,nettunio,,7,f,5
94,plutonio,,7,f,6
95,americio,,7,f,7
96,curio,,7,f,8
97,berkelio,,7,f,9
98,californio,,7,f,10
99,einsteinio,,7,f,11
100,fermio,,7,f,12
101,mendelevio,,7,f,13
102,nobelio,,7,f,14
103,laurenzio,,7,d,1
104,rutherfordio,,7,d,2
105,dubnio,,7,d,3
106,seaborgio,,7,d,4
107,bohrio,,7,d,5
108,hassio,,7,d,6
109,meitnerio,,7,d,7
110,darmstadtio,,7,d,8
111,roentgenio,,7,d,9
112,copernicio,,7,d,10
113,nihonium,,7,p,1
114,flerovio,,7,p,2
115,moscovium,,7,p,3
116,livermorio,,7,p,4
117,tennessine,,7,p,5
118,oganessio,Og,7,p,6
